prodid,brand,name,size,current_price,full_price,raw_description
1758030,Madame Flavour,Caffeine Free Lemongrass Lime & Ginger Tisane Tea Bags 18 Pack,36g,7.5,0.0,MADAME FLAVOUR TEA BAGS 36G:LEMONGRASS LIME & GINGER:.:18 PACK
177892,Sunbeam,Australian Sultana,1kg,10.5,0.0,SUNBEAM AUSTRALIAN SULTANA 1KG
1790270,Coles Finest,Pure Canadian Maple Syrup,250mL,6.0,0.0,COLES FINEST PURE CANADIAN MAPLE SYRUP
180682,Holbrooks,Worcestershire Sauce,500mL,6.0,0.0,HOLBROOKS SAUCE WORCESTER
1809266,Mutti,Passata Tomato Puree,700g,4.8,0.0,MUTTI PASSATA TOMATO PUREE 700G
1809277,Mutti,Tomato Passata With Basil,700g,4.8,0.0,MUTTI TOMATO PASSATA WITH BASIL 700G
1809302,Barilla,Basil And Rocket Pesto Pasta Sauce,190g,5.3,0.0,BARILLA BASIL AND ROCKET PESTO PASTA SAUCE 190G
1814142,Massel,7 Bouillon Cubes Beef Style,35g,1.0,0.0,MASSEL BULLION STOCK CUBES 7S:BEEF:GLUTEN FREE:35 GRAM
1814153,Massel,7 Bouillon Cubes Chicken Style,35g,1.0,0.0,MASSEL BULLION STOCK CUBES 7S:CHICKEN:GLUTEN FREE:35 GRAM
181641,Bega,Peanut Butter Smooth,200g,3.7,0.0,BEGA PEANUT BUTTER:SMOOTH:.:200 GRAM
181652,Bega,Peanut Butter Crunchy,200g,3.7,0.0,BEGA PEANUT BUTTER:CRUNCHY:.:200 GRAM
1825874,Caffe Aurora,Espressotoria Italian Coffee Capsules,12 pack,7.2,0.0,ESPRESSOTORIA AURORA ITALIAN CAPSULES 12PK
1825885,Vittoria,Espressotoria Espresso Coffee Capsules 12 Pack,78g,11.0,0.0,ESPRESSOTORIA VITTORIA CAPSULES ESPRESSO 12PK
1843355,Coles,Rice Bran Oil,500mL,3.5,0.0,COLES RICE BRAN OIL 500ML
1855762,Olympian,Sesame Biscota,250g,4.4,0.0,OLYMPIAN SESAME BISCOTA 250G
1855809,Olympian,Vanilla Twists Koulourakia Greek Biscuits,250g,5.0,0.0,OLYMPIAN VANILLA TWISTS KOULOURAKIA 250G
1856110,Olympian,Traditional Sweetloaf,400g,6.7,0.0,OLYMPIAN TRADITIONAL SWEETLOAF 400G
1857101,BRU,Original Instant Coffee Jar,200g,13.0,0.0,BRU ORIGINAL INSTANT COFFEE JAR 200G
1857270,Coles,Australian Pink Lady Apple Slices In Juice,410g,2.25,0.0,COLES AUSTRALIAN PINK LADY APPLE SLICES IN JUICE 410G
1857305,Coles,Australian Pear Slices In Juice,410g,2.0,0.0,COLES AUSTRALIAN PEAR SLICES IN JUICE 410G
1857451,Goulburn Valley,Peaches Slices In Natural Juice,700g,5.0,0.0,GOULBURN VALLEY PEACHES IN JUICE:.:700 GRAM
1857462,Goulburn Valley,Peaches In Mango Nectar,700g,5.0,0.0,GOULBURN VALLEY PEACHES IN MANGO NECTAR:.:700 GRAM
1857473,Goulburn Valley,Pears In Juice,700g,5.0,0.0,GOULBURN VALLEY PEARS IN JUICE:.:700 GRAM
1857484,Goulburn Valley,Apricots In Juice,700g,5.0,0.0,GOULBURN VALLEY APRICOTS IN JUICE:.:700 GRAM
1857495,Goulburn Valley,Fruit Salad In Juice,700g,5.0,0.0,GOULBURN VALLEY FRUIT SALAD IN JUICE:.:700 GRAM
1857509,Goulburn Valley,Two Fruits In Juice,700g,5.0,0.0,GOULBURN VALLEY TWO FRUITS IN JUICE:.:700 GRAM
1857815,Golden Circle,Strawberry Squeeze Squeezy Pouch,120g,1.8,0.0,GOLDEN CIRCLE SQUEEZY:STRAWBERRY SQUEEZE PUREE:.:120 GRAM
1868323,Old El Paso,Stand 'n Stuff Flour Soft Tortillas 8 Pack,193g,6.0,0.0,OLD EL PASO STAND 'N STUFF SOFT TORTILLAS 8 PACK 193G
1872706,Limca,Drink Can,300mL,2.5,0.0,LIMCA DRINK CAN 300ML
1872772,Thums Up Drink,Can,300 ML,2.5,0.0,THUMS UP DRINK RING PULL CAN 300ML
1923501,Green's,Lemon Pudding Mix,260g,3.75,0.0,GREENS LEMON PUDDING MIX 260G
192364,Suimin,Braised Beef Noodle Cup,70g,2.0,2.4,SUIMIN NOODLE CUP :BRAISED BEEF:.:70 GRAM
192386,Suimin,Prawn & Chicken Noodle Cup,70g,2.0,2.4,SUIMIN NOODLE CUP :PRAWN CHICKEN:.:70 GRAM
